standardized,pEC50
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(F)C=N2)=NN=C1C1CCCC(=O)N1,6.958607315
CCC1=NC(C2=NN=C(NS(=O)(=O)C(C)C(C)C3=NC=C(C)C=N3)N2C2=C(OC)C=CC=C2OC)=CC=C1,9.823908741
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)CCC2=C(C#N)C=C(C)C=C2)=NN=C1C1=CC(Cl)=CN=C1,7.920818754
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(F)C=N2)=NN=C1C1=CN=CC=C1,8.958607315
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(O)C2=NC(Cl)=CC=C2)=NN=C1C1=CN=CC=C1,8.795880017
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(C)N=C2)=NN=C1C1=CN=CC=C1,8.958607315
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(C)N=C2)=NN=C1C1=CN=CC(C)=C1,7.721246399
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)CCN2C(=O)N(C)CCC2C)=NN=C1C1=CN=CC(C)=C1,8.602059991
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)CC2=NC=C(F)C=N2)=NN=C1C1=CC=CC=N1,7.812479279
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)CC2=NC=C(F)C=N2)=NN=C1C1=CN=CC=C1,7.602059991
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)CC2=NC=C(F)C=N2)=NN=C1C1=CN=CC(C)=C1,8.48148606
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)CC2=NC=C(F)C=N2)=NN=C1C1=C(C)N=CC=C1,6.420216403
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)CC2=NC=C(F)C=N2)=NN=C1C1=CN=C(C)C=C1,6.958607315
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)CC2=NC=C(F)C=N2)=NN=C1C1=C(C)C=CN=C1,6.244125144
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)CC2=NC=C(F)C=N2)=NN=C1C1=CC(Cl)=CN=C1,8.070581074
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)CC2=NC=C(F)C=N2)=NN=C1C1=NC=CC(C)=C1,8.086186148
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)CC2=NC=C(F)C=N2)=NN=C1C1=CC(F)=CN=C1,7.657577319
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(F)C=N2)=NN=C1C1=CN=CC(C)=C1,7.795880017
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(C)C=N2)=NN=C1C1=CN=CC(C)=C1,7.920818754
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(O)C2=CC=C(C#N)C=C2)=NN=C1C1=CN=CC(C)=C1,8.420216403
COC1=CC=CC(OC)=C1N=C(CS(=O)(=O)C(C)C(C)C1=NC=C(C)C=N1)NNC(=O)C1=CN=CC(C)=C1,9.494850022
COC1=CC=CC(C2=NN=C(NS(=O)(=O)CC(O)C3=CC=C(Cl)C=C3)N2C2=C(OC)C=CC=C2OC)=N1,9.113509275
COC1=CC=CC(C2=NN=C(NS(=O)(=O)CC(O)C3=CC=C(F)C=C3)N2C2=C(OC)C=CC=C2OC)=N1,9.124938737
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(O)C3=C(F)C=C(F)C=C3)N2C2=C(OC)C=CC=C2OC)=N1,7.552841969
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(O)C3=CC=C(F)C=C3)N2C2=C(OC)C=CC=C2OC)=N1,7.886056648
COC1=CC=C(CN(CC2=CC=C(OC)C=C2)S(=O)(=O)C(C)C(O)C2=NC(C)=C(C)S2)C=C1,8.744727495
COC1=CC=C(CN(CC2=CC=C(OC)C=C2)S(=O)(=O)C(C)C(OC)C2=NC(C)=C(C)S2)C=C1,8.677780705
COC1=CC=C(CN(CC2=CC=C(OC)C=C2)S(=O)(=O)C(C)C(O)C2=CN=C(OC)C=N2)C=C1,8.769551079
COC1=NC=C(C(O)C(C)S(N)(=O)=O)N=C1,7.387216143
COC1=CC=C(CN(CC2=CC=C(OC)C=C2)S(=O)(=O)C(C)C(OC)C2=CN=C(OC)C=N2)C=C1,9.180456064
CC(=C(C)S(N)(=O)=O)C1=NC=C(C)C=N1,9.522878745
